latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
18.537,-70.716,313.4,1.9,1.4,2020-03-22,1740,A,59,6.0NRT,299,15.9,D
18.478,-71.259,328.7,2.1,1.4,2020-03-22,1740,A,82,6.0NRT,309.1,40.4,D
18.549,-71.525,338.5,2.2,1.4,2020-03-22,1740,A,89,6.0NRT,302.5,109.8,D
18.546,-71.546,345.2,2.2,1.4,2020-03-22,1740,A,93,6.0NRT,302.8,147.6,D
18.547,-71.53,348.3,2.2,1.4,2020-03-22,1740,A,94,6.0NRT,302.8,169,D
18.543,-71.552,333,2.2,1.4,2020-03-22,1740,A,86,6.0NRT,302.2,84.6,D
18.928,-70.351,313.5,1.8,1.3,2020-03-22,1740,A,54,6.0NRT,300.3,16.2,D
19.041,-71.351,313.3,2.1,1.4,2020-03-22,1740,A,59,6.0NRT,300.9,15.1,D
19.17,-71.372,310.7,2.1,1.4,2020-03-22,1740,A,20,6.0NRT,294.1,18.2,D
18.973,-72.436,323.4,2.5,1.5,2020-03-22,1740,A,44,6.0NRT,309.3,33.7,D
18.969,-72.457,324.3,2.6,1.5,2020-03-22,1740,A,63,6.0NRT,307.8,40.3,D
18.983,-72.461,323.7,2.6,1.5,2020-03-22,1740,A,52,6.0NRT,307.7,36.9,D
17.673,-88.513,319.1,1,1,2020-03-22,1920,A,49,6.0NRT,298.5,9,D
17.618,-90.735,324,1.1,1,2020-03-22,1920,A,75,6.0NRT,299.1,16.2,D
17.645,-90.679,320.6,1.1,1,2020-03-22,1920,A,29,6.0NRT,301.3,10.2,D
17.664,-90.612,333.5,1,1,2020-03-22,1920,A,85,6.0NRT,302.2,24.4,D
17.673,-90.61,328.4,1,1,2020-03-22,1920,A,54,6.0NRT,307.1,16.8,D
17.672,-90.62,328.8,1,1,2020-03-22,1920,A,65,6.0NRT,303.9,17.3,D
17.657,-90.778,315.9,1.1,1,2020-03-22,1920,A,40,6.0NRT,298.7,6.1,D
17.781,-90.624,317.8,1,1,2020-03-22,1920,A,48,6.0NRT,303.2,8.7,D
