latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight,latlongtuple
21.283,-78.34899999999999,318.7,1.9,1.4,2020-03-21,1530,T,53,6.0NRT,297.1,20.2,D,"(21.283, -78.34899999999999)"
21.29,-78.337,317.1,1.9,1.4,2020-03-21,1530,T,34,6.0NRT,298.5,15.5,D,"(21.29, -78.337)"
21.166999999999998,-78.113,341.6,1.9,1.3,2020-03-21,1530,T,90,6.0NRT,300.6,89.8,D,"(21.166999999999998, -78.113)"
21.165,-78.096,360.8,1.8,1.3,2020-03-21,1530,T,100,6.0NRT,301.9,193.7,D,"(21.165, -78.096)"
21.159000000000002,-78.10300000000001,346.8,1.8,1.3,2020-03-21,1530,T,93,6.0NRT,300.6,116.0,D,"(21.159000000000002, -78.10300000000001)"
20.916999999999998,-78.218,321.3,1.9,1.3,2020-03-21,1530,T,65,6.0NRT,295.8,25.9,D,"(20.916999999999998, -78.218)"
20.386,-75.723,328.4,1.3,1.1,2020-03-21,1530,T,80,6.0NRT,302.9,26.0,D,"(20.386, -75.723)"
20.384,-75.711,317.0,1.3,1.1,2020-03-21,1530,T,61,6.0NRT,301.8,9.5,D,"(20.384, -75.711)"
19.703,-71.446,313.0,1.0,1.0,2020-03-21,1530,T,39,6.0NRT,297.9,5.8,D,"(19.703, -71.446)"
20.42,-77.069,332.8,1.5,1.2,2020-03-21,1530,T,71,6.0NRT,303.7,40.3,D,"(20.42, -77.069)"
20.171,-76.918,331.3,1.5,1.2,2020-03-21,1530,T,81,6.0NRT,307.1,32.3,D,"(20.171, -76.918)"
20.003,-75.681,334.6,1.2,1.1,2020-03-21,1530,T,85,6.0NRT,305.8,36.2,D,"(20.003, -75.681)"
20.002,-75.67,322.3,1.2,1.1,2020-03-21,1530,T,53,6.0NRT,303.7,16.2,D,"(20.002, -75.67)"
18.929000000000002,-70.357,319.9,1.2,1.1,2020-03-21,1530,T,71,6.0NRT,292.6,18.2,D,"(18.929000000000002, -70.357)"
18.928,-70.346,313.2,1.2,1.1,2020-03-21,1530,T,64,6.0NRT,292.6,11.2,D,"(18.928, -70.346)"
19.06,-71.35300000000001,325.2,1.1,1.0,2020-03-21,1530,T,69,6.0NRT,297.2,18.1,D,"(19.06, -71.35300000000001)"
19.105,-72.123,327.4,1.0,1.0,2020-03-21,1530,T,79,6.0NRT,299.4,17.8,D,"(19.105, -72.123)"
19.104,-72.113,327.5,1.0,1.0,2020-03-21,1530,T,79,6.0NRT,302.5,17.3,D,"(19.104, -72.113)"
18.915,-71.063,323.3,1.1,1.0,2020-03-21,1530,T,74,6.0NRT,299.2,20.7,D,"(18.915, -71.063)"
18.734,-71.207,327.8,1.1,1.0,2020-03-21,1530,T,77,6.0NRT,305.3,13.3,D,"(18.734, -71.207)"
18.535,-71.18,319.3,1.1,1.0,2020-03-21,1530,T,54,6.0NRT,303.3,7.7,D,"(18.535, -71.18)"
18.456,-71.26100000000001,335.7,1.1,1.0,2020-03-21,1530,T,85,6.0NRT,301.9,26.6,D,"(18.456, -71.26100000000001)"
18.454,-71.251,323.4,1.1,1.0,2020-03-21,1530,T,57,6.0NRT,302.7,9.7,D,"(18.454, -71.251)"
18.29,-70.4,325.7,1.2,1.1,2020-03-21,1530,T,75,6.0NRT,310.1,11.9,D,"(18.29, -70.4)"
22.893,-98.902,352.2,1.1,1.1,2020-03-21,1710,T,96,6.0NRT,303.8,65.2,D,"(22.893, -98.902)"
22.892,-98.89200000000001,331.8,1.1,1.1,2020-03-21,1710,T,82,6.0NRT,301.0,22.3,D,"(22.892, -98.89200000000001)"
22.822,-98.728,327.9,1.1,1.0,2020-03-21,1710,T,78,6.0NRT,301.6,17.9,D,"(22.822, -98.728)"
22.815,-98.72399999999999,327.7,1.1,1.0,2020-03-21,1710,T,77,6.0NRT,302.1,18.6,D,"(22.815, -98.72399999999999)"
20.67,-88.902,321.4,2.8,1.6,2020-03-21,1710,T,75,6.0NRT,291.3,64.7,D,"(20.67, -88.902)"
20.849,-89.949,317.4,2.3,1.5,2020-03-21,1710,T,57,6.0NRT,298.2,28.1,D,"(20.849, -89.949)"
20.595,-89.06200000000001,322.3,2.8,1.6,2020-03-21,1710,T,73,6.0NRT,295.7,55.2,D,"(20.595, -89.06200000000001)"
20.59,-89.036,321.5,2.8,1.6,2020-03-21,1710,T,71,6.0NRT,296.0,51.6,D,"(20.59, -89.036)"
20.590999999999998,-89.068,319.5,2.8,1.6,2020-03-21,1710,T,46,6.0NRT,292.9,40.0,D,"(20.590999999999998, -89.068)"
20.586,-89.042,327.0,2.8,1.6,2020-03-21,1710,T,79,6.0NRT,296.2,75.6,D,"(20.586, -89.042)"
20.439,-89.13600000000001,313.1,2.8,1.6,2020-03-21,1710,T,31,6.0NRT,293.8,26.4,D,"(20.439, -89.13600000000001)"
20.425,-89.139,315.6,2.8,1.6,2020-03-21,1710,T,58,6.0NRT,297.5,37.7,D,"(20.425, -89.139)"
20.121,-90.103,318.0,2.4,1.5,2020-03-21,1710,T,46,6.0NRT,298.1,26.6,D,"(20.121, -90.103)"
20.112000000000002,-90.111,316.3,2.4,1.5,2020-03-21,1710,T,43,6.0NRT,297.5,24.8,D,"(20.112000000000002, -90.111)"
19.951,-89.821,317.3,2.5,1.5,2020-03-21,1710,T,63,6.0NRT,298.6,31.6,D,"(19.951, -89.821)"
19.463,-90.454,312.1,2.3,1.5,2020-03-21,1710,T,45,6.0NRT,295.4,13.8,D,"(19.463, -90.454)"
19.347,-90.616,321.2,2.3,1.5,2020-03-21,1710,T,72,6.0NRT,297.1,33.8,D,"(19.347, -90.616)"
19.57,-92.23200000000001,320.2,1.7,1.3,2020-03-21,1710,T,72,6.0NRT,295.4,31.2,D,"(19.57, -92.23200000000001)"
19.442,-92.029,310.5,1.8,1.3,2020-03-21,1710,T,39,6.0NRT,295.7,14.8,D,"(19.442, -92.029)"
20.965999999999998,-102.444,342.2,1.7,1.3,2020-03-21,1710,T,89,6.0NRT,301.0,73.6,D,"(20.965999999999998, -102.444)"
